#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
127,Marvin Bagley III,MEM,10,13.8,6.3,2.5,4.6,0.543,0.3,0.9,0.333,1.0,1.6,0.625,1.8,1.8,3.6,0.4,0.5,0.6,0.4,1.3
128,Neemias Queta,BOS,10,13.8,5.1,2.4,4.0,0.6,0.0,0.1,0.0,0.3,0.4,0.75,1.6,3.2,4.8,0.7,0.2,0.6,0.8,2.0
129,Anthony Black,ORL,10,18.7,7.4,2.4,6.4,0.375,0.8,2.0,0.4,1.8,2.5,0.72,0.6,2.5,3.1,1.6,1.1,0.6,1.3,1.8
130,Elfrid Payton,CHA,10,18.8,2.4,1.2,4.2,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.8,2.2,3.5,1.1,0.6,1.6,1.3
131,Branden Carlson,OKC,10,8.3,4.1,1.4,2.9,0.483,1.1,2.4,0.458,0.2,0.2,1.0,0.1,1.6,1.7,0.4,0.1,0.6,0.2,0.9
132,James Huff,MEM,10,6.5,3.0,1.1,2.7,0.407,0.8,2.0,0.4,0.0,0.0,0.0,0.2,1.0,1.2,0.4,0.1,0.6,0.1,0.5
133,Oso Ighodaro,PHX,10,6.5,1.6,0.8,0.8,1.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,1.1,1.4,0.6,0.1,0.6,0.5,0.7
134,Kevin Knox II,GOS,7,7.3,4.0,1.6,3.4,0.458,0.4,1.6,0.273,0.4,0.6,0.75,0.9,0.7,1.6,0.6,0.1,0.6,0.1,0.7
135,Jayson Tatum,BOS,10,38.0,28.8,10.3,22.1,0.466,3.6,11.1,0.324,4.6,5.5,0.836,1.2,8.9,10.1,7.4,0.8,0.5,3.8,2.6
136,Paolo Banchero,ORL,10,35.4,28.1,8.9,19.0,0.468,2.1,6.1,0.344,8.2,10.5,0.781,1.0,5.4,6.4,4.2,1.0,0.5,2.7,2.1
137,Karl-Anthony Towns,NYK,10,37.3,23.5,8.4,17.3,0.486,2.4,5.9,0.407,4.3,5.5,0.782,2.5,9.1,11.6,2.1,1.1,0.5,3.1,3.6
138,Dyson Daniels,ATL,10,34.1,15.4,6.8,12.0,0.567,1.0,1.8,0.556,0.8,1.7,0.471,0.9,4.9,5.8,5.0,3.2,0.5,2.3,2.5
139,Draymond Green,GOS,10,30.3,10.6,3.6,8.4,0.429,0.7,2.6,0.269,2.7,3.4,0.794,1.6,6.1,7.7,7.2,1.7,0.5,2.3,3.0
140,Jaylen Brown,BOS,10,35.7,22.4,8.4,18.8,0.447,1.3,5.1,0.255,4.3,5.2,0.827,1.5,4.4,5.9,4.6,1.7,0.5,3.0,2.4
141,Tobias Harris,DET,10,33.2,16.6,6.3,11.4,0.553,1.3,3.0,0.433,2.7,3.1,0.871,1.1,5.9,7.0,1.9,1.1,0.5,1.3,2.2
142,Isaiah Hartenstein,OKC,10,25.7,11.1,4.9,7.9,0.62,0.0,0.2,0.0,1.3,1.6,0.813,1.9,6.2,8.1,3.7,0.8,0.5,1.0,3.3
143,Christian Braun,DEN,10,35.6,16.6,6.3,12.2,0.516,1.7,3.9,0.436,2.3,2.8,0.821,1.0,4.2,5.2,3.1,1.0,0.5,0.8,2.1
144,Klay Thompson,DAL,10,29.5,17.7,6.1,14.4,0.424,3.6,8.5,0.424,1.9,2.1,0.905,0.9,2.7,3.6,2.7,0.6,0.5,1.2,1.0
145,Ben Simmons,LAC,10,22.4,6.1,2.6,4.9,0.531,0.0,0.0,0.0,0.9,1.2,0.75,1.1,4.1,5.2,5.9,1.0,0.5,1.1,2.7
146,Khris Middleton,WAS,10,24.2,13.5,4.7,9.2,0.511,1.3,3.6,0.361,2.8,3.2,0.875,0.4,3.4,3.8,3.5,1.3,0.5,1.9,2.0
