#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
52,Kevin Durant,PHX,5,39.6,25.2,8.8,16.4,0.537,3.4,5.4,0.63,4.2,4.6,0.913,0.8,6.0,6.8,4.8,0.4,1.0,4.2,1.0
53,Joel Embiid,PHL,5,31.2,21.2,5.8,14.6,0.397,1.2,4.8,0.25,8.4,9.6,0.875,2.0,6.2,8.2,5.0,0.4,1.0,3.2,2.2
54,Devin Vassell,SAS,5,33.3,17.0,6.6,14.6,0.452,2.6,7.2,0.361,1.2,1.2,1.0,0.6,4.0,4.6,3.4,1.8,1.0,0.8,2.6
55,Cason Wallace,OKC,5,25.6,9.8,3.4,6.2,0.548,1.2,2.8,0.429,1.8,2.0,0.9,0.8,2.4,3.2,3.4,1.8,1.0,1.2,1.4
56,Andrew Wiggins,MIA,5,32.9,20.2,7.6,16.2,0.469,2.0,6.0,0.333,3.0,4.6,0.652,1.0,2.8,3.8,3.4,1.2,1.0,3.0,1.6
57,Brandon Clarke,MEM,5,21.5,10.6,4.2,7.0,0.6,0.0,0.0,0.0,2.2,2.8,0.786,2.0,4.6,6.6,1.2,1.2,1.0,0.6,2.8
58,Trey Murphy III,NOP,5,35.5,20.8,7.4,15.8,0.468,1.8,6.4,0.281,4.2,4.8,0.875,1.2,3.6,4.8,1.8,0.4,1.0,2.4,1.6
59,Colin Castleton,TOR,5,27.8,7.0,3.0,5.4,0.556,0.2,0.4,0.5,0.8,1.0,0.8,3.0,5.6,8.6,2.4,0.4,1.0,1.8,3.4
60,Clint Capela,ATL,5,16.9,7.4,3.4,7.0,0.486,0.0,0.0,0.0,0.6,1.2,0.5,3.2,3.8,7.0,0.8,1.0,1.0,0.2,1.8
61,Luke Kornet,BOS,5,21.9,6.6,2.8,3.4,0.824,0.0,0.2,0.0,1.0,2.0,0.5,2.6,2.8,5.4,1.0,0.6,1.0,0.2,2.2
62,D'Angelo Russell,BRK,5,26.5,11.8,4.2,10.8,0.389,1.8,6.8,0.265,1.6,2.4,0.667,0.4,2.2,2.6,5.2,1.0,1.0,1.6,2.4
63,Jericho Sims,MIL,5,16.1,4.4,2.2,2.4,0.917,0.0,0.0,0.0,0.0,0.0,0.0,1.8,5.0,6.8,0.8,0.4,1.0,0.6,1.2
64,Zach Edey,MEM,5,19.0,6.8,3.2,7.4,0.432,0.0,0.0,0.0,0.4,0.6,0.667,5.0,3.0,8.0,0.6,0.4,1.0,0.6,2.2
65,Jalen Smith,CHI,5,18.1,7.4,2.8,7.2,0.389,1.0,4.2,0.238,0.8,1.2,0.667,1.6,5.6,7.2,1.4,0.6,1.0,0.6,2.4
66,Neemias Queta,BOS,5,18.4,6.0,2.8,5.2,0.538,0.0,0.2,0.0,0.4,0.4,1.0,2.8,5.0,7.8,1.2,0.0,1.0,1.6,2.4
67,Toumani Camara,POR,5,33.8,9.4,3.2,9.8,0.327,1.4,5.4,0.259,1.6,2.6,0.615,1.6,3.0,4.6,3.0,1.2,1.0,1.2,3.4
68,Matas Buzelis,CHI,5,26.3,11.0,4.2,10.0,0.42,0.8,4.4,0.182,1.8,1.8,1.0,1.2,3.6,4.8,1.6,0.0,1.0,1.4,3.6
69,DaQuan Jeffries,CHA,5,28.4,10.0,3.6,7.8,0.462,2.2,5.4,0.407,0.6,0.8,0.75,0.2,1.0,1.2,1.0,0.6,1.0,0.6,3.2
70,Ausar Thompson,DET,5,21.6,7.8,3.2,7.6,0.421,0.2,0.6,0.333,1.2,2.0,0.6,3.2,2.0,5.2,1.0,0.8,1.0,1.8,3.8
71,Tristan Vukcevic,WAS,5,14.8,8.0,2.8,7.2,0.389,1.0,4.0,0.25,1.4,1.6,0.875,1.0,3.0,4.0,0.8,0.4,1.0,1.0,2.6
72,Oso Ighodaro,PHX,5,13.0,3.8,1.6,1.8,0.889,0.0,0.0,0.0,0.6,0.8,0.75,0.8,2.0,2.8,0.4,0.2,1.0,0.8,1.4
73,Peyton Watson,DEN,5,17.3,6.2,2.2,4.8,0.458,1.4,2.6,0.538,0.4,0.8,0.5,0.0,1.4,1.4,0.8,0.4,1.0,0.6,2.2
74,James Harden,LAC,5,38.9,26.0,7.4,17.6,0.42,3.8,10.0,0.38,7.4,9.0,0.822,0.8,5.6,6.4,10.6,1.2,0.8,4.8,1.4
75,LeBron James,LAL,5,36.9,26.4,10.0,20.4,0.49,2.0,7.4,0.27,4.4,5.4,0.815,1.2,9.2,10.4,7.0,0.8,0.8,3.6,1.8
76,Jalen Williams,OKC,5,30.4,24.6,8.4,16.2,0.519,2.4,5.2,0.462,5.4,6.2,0.871,0.4,4.8,5.2,6.4,1.2,0.8,1.4,1.6
77,Cade Cunningham,DET,5,36.5,32.2,10.8,21.4,0.505,1.4,5.2,0.269,9.2,10.2,0.902,0.4,4.8,5.2,8.0,1.2,0.8,5.8,4.0
78,Alperen Sengun,HOU,5,32.8,18.4,7.4,11.4,0.649,0.4,0.6,0.667,3.2,4.6,0.696,4.2,4.6,8.8,5.8,1.4,0.8,3.8,3.4
79,Amen Thompson,HOU,5,36.5,16.0,7.4,12.4,0.597,0.2,1.6,0.125,1.0,2.4,0.417,3.6,6.8,10.4,5.0,0.4,0.8,2.2,1.8
80,Zion Williamson,NOP,5,29.4,23.8,9.6,17.0,0.565,0.0,0.0,0.0,4.6,6.4,0.719,2.2,4.6,6.8,5.8,0.8,0.8,3.0,2.4
81,Rudy Gobert,MIN,5,29.8,14.2,6.0,8.6,0.698,0.0,0.0,0.0,2.2,3.0,0.733,4.4,6.0,10.4,2.2,1.0,0.8,1.2,2.8
82,Bobby Portis,MIL,5,29.8,16.4,6.8,15.2,0.447,1.6,4.4,0.364,1.2,1.4,0.857,2.6,9.0,11.6,4.2,0.6,0.8,1.2,3.0
83,Quentin Grimes,PHL,5,33.7,25.0,9.0,18.0,0.5,3.0,8.0,0.375,4.0,4.4,0.909,0.8,3.8,4.6,4.2,2.4,0.8,3.6,2.2
84,Desmond Bane,MEM,5,33.8,19.2,7.8,17.6,0.443,2.0,6.0,0.333,1.6,2.0,0.8,1.0,7.6,8.6,5.8,1.2,0.8,2.0,3.2
85,Scottie Barnes,TOR,5,27.9,18.2,6.4,16.6,0.386,0.6,3.0,0.2,4.8,6.6,0.727,3.4,6.6,10.0,4.0,2.0,0.8,2.2,0.6
86,Jakob Poeltl,TOR,5,22.7,14.6,6.0,8.8,0.682,0.0,0.0,0.0,2.6,2.8,0.929,2.4,4.0,6.4,3.0,1.8,0.8,2.0,3.0
87,Jaylen Brown,BOS,5,38.9,21.4,7.8,19.6,0.398,1.0,4.8,0.208,4.8,6.0,0.8,1.0,5.4,6.4,5.4,2.2,0.8,3.0,2.6
